sub	ses	task	run	n_volumes	mean_fd_p	median_fd_p	max_fd_p	prop_fd_p_over_thresh	n_fd_p_over_thresh	mean_dvars	site	avg_en	exclude_euler	exclude_mriqc	exclude	exclude_reason
sub-ADNI019S4285	ses-M003	task-rest		140	0.3430665497408434	0.2934072936169114	1.530817506023489	0.0214285714285714	3	1.0972648992805756	19	-24.0	0	0	0	
sub-ADNI019S4285	ses-M006	task-rest		140	0.3035834652528689	0.2743204081332028	1.1117648386513344	0.0357142857142857	5	1.1984540071942449	19	-18.0	0	0	0	
sub-ADNI019S4285	ses-M012	task-rest		140	0.2474775972853083	0.1598150324090619	1.291054675835163	0.0428571428571428	6	1.0852655899280574	19	-14.0	0	0	0	
sub-ADNI019S4285	ses-M024	task-rest		140	0.2679628030968375	0.2198085901729708	0.9718323784653649	0.0285714285714285	4	1.2191994964028776	19	-22.0	0	0	0	
sub-ADNI019S4367	ses-M000	task-rest		140	0.1834285267192066	0.1701364273771646	0.5846375760315501	0.0	0	0.9901382230215828	19	-13.0	0	0	0	
sub-ADNI019S4367	ses-M003	task-rest		140	0.2450959661207219	0.1875670307646994	0.990386403446593	0.0142857142857142	2	1.0099980431654676	19	-11.0	0	0	0	
sub-ADNI019S4367	ses-M006	task-rest		140	0.1532408330614778	0.1322879512245469	0.6422881624310064	0.0	0	1.208007892086331	19	-13.0	0	0	0	
sub-ADNI019S4367	ses-M012	task-rest		140	0.1484330059188298	0.1283450941650254	0.5905985258757567	0.0	0	1.1001337194244605	19	-15.0	0	0	0	
sub-ADNI019S4367	ses-M024	task-rest		140	0.2629710294361626	0.2703598743266168	0.7051388991817804	0.0	0	1.1359363669064748	19	-17.0	0	0	0	
sub-ADNI019S4367	ses-M048	task-rest		200	0.1763100489613311	0.1648415993929208	0.4536670176513372	0.0	0	1.265065311557789	19	-10.0	0	0	0	
sub-ADNI019S4367	ses-M066	task-rest		197	0.1305985606671723	0.1049344212634099	0.7659851314889514	0.0	0	1.3133743775510205	19	-21.0	0	0	0	
sub-ADNI019S4367	ses-M090	task-rest		197	0.1326833257784454	0.1141033595155783	1.0483408935642848	0.0050761421319796	1	1.2506902704081633	19	-10.0	0	0	0	
sub-ADNI019S4477	ses-M000	task-rest		140	0.3867389944897578	0.2487890074983712	1.867227352927195	0.1571428571428571	22	1.1654935035971223	19	-5.0	0	0	0	
sub-ADNI019S4477	ses-M003	task-rest		140	0.2773560744314036	0.2193530991310601	1.5509683451889889	0.0785714285714285	11	1.1989996474820144	19	-7.0	0	0	0	
sub-ADNI019S4477	ses-M006	task-rest		140	0.3482012454659288	0.2750849373515734	1.653462070032041	0.0857142857142857	12	1.2609129928057554	19	-7.0	0	0	0	
sub-ADNI019S4477	ses-M012	task-rest		140	0.2898772683663424	0.1844086736695772	1.6275690842475108	0.05	7	1.2431373884892087	19	-3.0	0	0	0	
sub-ADNI019S4548	ses-M000	task-rest		140	0.2227702110874919	0.1971475176779434	0.8954526494660674	0.0071428571428571	1	1.157264928057554	19	-12.0	0	0	0	
sub-ADNI019S4548	ses-M003	task-rest		140	0.1509671577584929	0.0995976704808222	1.0531130379043272	0.0071428571428571	1	1.3044229928057554	19	-22.0	0	0	0	
sub-ADNI019S4548	ses-M006	task-rest		140	0.1873740231083538	0.1556273534780285	0.8018584563720157	0.0071428571428571	1	1.3115151726618706	19	-21.0	0	0	0	
sub-ADNI019S4548	ses-M012	task-rest		140	0.1593880742771228	0.1444823235764494	0.7728243724499815	0.0	0	1.2999832517985612	19	-28.0	0	0	0	
